,grid,n_agents,n_hectares
623,grid_-46.1_170.4,23,355
624,grid_-46.3_167.6,102,14363
625,grid_-39.5_175.6,15,8032
626,grid_-38.5_175.0,253,25561
627,grid_-44.5_169.0,8,1750
628,grid_-42.3_171.2,11,1141
629,grid_-40.5_175.6,286,17465
630,grid_-41.9_171.4,51,8527
631,grid_-42.3_173.4,2,607
632,grid_-44.5_169.2,9,726
633,grid_-41.1_176.2,1,87
634,grid_-43.5_171.0,4,6003
635,grid_-42.9_171.8,1,10
636,grid_-42.9_171.4,21,1348
637,grid_-40.7_176.0,78,14182
638,grid_-43.9_171.2,130,24916
639,grid_-46.3_169.6,224,26584
640,grid_-44.5_170.0,22,11193
641,grid_-44.7_169.4,11,5828
642,grid_-40.1_174.8,16,726
643,grid_-42.9_173.2,121,15558
644,grid_-37.5_174.8,293,25260
645,grid_-37.5_175.2,283,19791
646,grid_-43.9_169.4,1,295
647,grid_-43.9_170.0,3,962
648,grid_-45.9_170.0,73,23784
649,grid_-41.5_175.0,37,6153
650,grid_-42.3_172.8,2,4
651,grid_-45.7_168.0,37,17788
652,grid_-40.1_176.2,259,31517
653,grid_-44.9_169.8,13,12022
654,grid_-45.3_170.2,50,25477
655,grid_-39.1_176.8,13,1992
656,grid_-42.9_172.2,7,3257
657,grid_-43.7_171.0,10,8829
658,grid_-44.5_170.6,26,15204
659,grid_-43.7_169.8,6,892
660,grid_-43.7_172.2,428,27364
661,grid_-36.9_175.4,49,1517
662,grid_-36.1_174.2,253,22311
663,grid_-39.9_175.4,52,4457
664,grid_-37.7_175.0,281,19822
665,grid_-43.3_172.0,82,8855
666,grid_-39.3_176.6,55,10696
667,grid_-43.3_172.6,312,17534
668,grid_-39.7_177.0,5,1456
669,grid_-39.3_177.8,36,3507
670,grid_-38.9_174.4,16,494
671,grid_-43.1_170.4,16,1728
672,grid_-42.9_170.6,5,96
673,grid_-37.3_175.6,146,6830
674,grid_-39.3_174.6,31,1934
675,grid_-41.9_173.8,56,9979
676,grid_-40.7_175.8,107,13188
677,grid_-41.5_175.4,50,7566
678,grid_-38.1_177.0,127,4932
679,grid_-36.7_174.6,190,6096
680,grid_-39.1_177.0,63,8646
681,grid_-35.3_173.4,131,9184
682,grid_-42.9_171.2,13,1514
683,grid_-40.9_172.8,78,2816
684,grid_-45.1_170.4,38,7683
685,grid_-39.3_177.0,28,5809
686,grid_-38.1_175.8,177,12587
687,grid_-42.5_171.2,39,1675
688,grid_-43.9_172.0,180,27221
689,grid_-44.5_171.2,141,6930
690,grid_-39.9_174.6,158,14685
691,grid_-38.9_176.2,6,5184
692,grid_-45.5_170.2,45,27957
693,grid_-42.1_173.4,5,3753
694,grid_-44.5_169.6,9,4384
695,grid_-45.1_171.0,103,12674
696,grid_-38.9_175.0,71,9321
697,grid_-43.7_171.4,133,18807
698,grid_-46.1_169.0,233,31870
699,grid_-46.5_169.0,47,11897
700,grid_-39.7_175.2,26,5277
701,grid_-42.5_173.6,108,5563
702,grid_-39.9_175.6,122,11035
703,grid_-45.9_168.4,143,28688
704,grid_-38.1_178.2,59,3389
705,grid_-44.1_170.4,19,14268
706,grid_-38.7_176.4,9,3324
707,grid_-44.9_170.2,9,1628
708,grid_-36.9_175.0,46,2593
709,grid_-46.5_169.4,67,13505
710,grid_-39.7_175.4,76,13751
711,grid_-43.9_173.0,84,3818
712,grid_-45.3_168.8,5,2668
713,grid_-45.3_169.6,46,20408
714,grid_-44.1_170.6,62,11026
715,grid_-46.3_169.2,117,27755
716,grid_-39.3_176.0,1,401
717,grid_-45.7_168.6,21,5903
718,grid_-38.3_178.2,40,1986
719,grid_-42.7_171.0,36,1613
720,grid_-38.5_177.2,8,1772
